Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years
Andrew Benintendi,andrew benintendi,andrew,benintendi,1,2017,2017,OF,Chicago White Sox,MLB,31,1,2017
Bobby Witt Jr.,bobby witt,bobby,witt,1,2022,2022,SS/3B,Kansas City Royals,MLB,25,3,2020;2021;2022
Gunnar Henderson,gunnar henderson,gunnar,henderson,1,2023,2023,3B/SS,Baltimore Orioles,MLB,24,2,2022;2023
Jackson Holliday,jackson holliday,jackson,holliday,1,2024,2024,2B/SS,Baltimore Orioles,AAA,22,2,2023;2024
Jesús Made,jesus made,jesus,made,1,2026,2026,SS,Milwaukee Brewers,AA,19,2,2025;2026
Shohei Ohtani,shohei ohtani,shohei,ohtani,1,2018,2018,TWP,Los Angeles Dodgers,MLB,31,1,2018
Vladimir Guerrero Jr.,vladimir guerrero,vladimir,guerrero,1,2019,2019,3B,Toronto Blue Jays,MLB,27,3,2017;2018;2019
Wander Franco,wander franco,wander,franco,1,2021,2021,SS,Tampa Bay Rays,MLB,25,3,2019;2020;2021
Adley Rutschman,adley rutschman,adley,rutschman,2,2022,2022,C,Baltimore Orioles,MLB,28,3,2020;2021;2022
Corbin Carroll,corbin carroll,corbin,carroll,2,2023,2023,OF,Arizona Diamondbacks,MLB,25,4,2020;2021;2022;2023
Fernando Tatis Jr.,fernando tatis,fernando,tatis,2,2019,2019,SS,San Diego Padres,MLB,27,2,2018;2019
Gavin Lux,gavin lux,gavin,lux,2,2020,2020,SS/2B,Tampa Bay Rays,MLB,28,2,2019;2020
Jackson Chourio,jackson chourio,jackson,chourio,2,2024,2024,OF,Milwaukee Brewers,MLB,22,2,2023;2024
Leo De Vries,leo de vries,leo,vries,2,2026,2026,SS,Athletics,AA,19,2,2025;2026
Roman Anthony,roman anthony,roman,anthony,2,2025,2025,OF,Boston Red Sox,MLB,22,2,2024;2025
Ronald Acuña Jr.,ronald acuna,ronald,acuna,2,2018,2018,OF,Atlanta Braves,MLB,28,1,2018
