Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years,BRef_Register_ID,BRef_Register_URL,Resolve_Status,Resolve_Method,Resolve_Reason,Birth_Year,Birth_Country,Birth_State,Chadwick_Name,Chadwick_Key
Andrew Benintendi,andrew benintendi,andrew,benintendi,1,2017,2017,OF,Chicago White Sox,MLB,31,1,2017,benint000and,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=benint000and; attempts=exact_full_name=1,1994.0,,,Andrew Benintendi,2dda886c
Bobby Witt Jr.,bobby witt,bobby,witt,1,2022,2022,SS/3B,Kansas City Royals,MLB,25,3,2020;2021;2022,witt--005rob,https://www.baseball-reference.com/register/player.fcgi?id=witt--005rob,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=witt--005rob; attempts=exact_full_name=2,2000.0,,,Bobby Witt,042fbc15
Gunnar Henderson,gunnar henderson,gunnar,henderson,1,2023,2023,3B/SS,Baltimore Orioles,MLB,24,2,2022;2023,hender000gun,https://www.baseball-reference.com/register/player.fcgi?id=hender000gun,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=hender000gun; attempts=exact_full_name=1,2001.0,,,Gunnar Henderson,298c5bf9
Jackson Holliday,jackson holliday,jackson,holliday,1,2024,2024,2B/SS,Baltimore Orioles,AAA,22,2,2023;2024,hollid000jac,https://www.baseball-reference.com/register/player.fcgi?id=hollid000jac,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=hollid000jac; attempts=exact_full_name=1,2003.0,,,Jackson Holliday,12bcaeab
Jesús Made,jesus made,jesus,made,1,2026,2026,SS,Milwaukee Brewers,AA,19,2,2025;2026,made--000jes,https://www.baseball-reference.com/register/player.fcgi?id=made--000jes,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2007; minor_id=made--000jes; attempts=exact_full_name=1,2007.0,,,Jesús Made,d6a2d104
Shohei Ohtani,shohei ohtani,shohei,ohtani,1,2018,2018,TWP,Los Angeles Dodgers,MLB,31,1,2018,otani-000sho,https://www.baseball-reference.com/register/player.fcgi?id=otani-000sho,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=otani-000sho; attempts=exact_full_name=1,1994.0,,,Shohei Ohtani,270bfa31
Vladimir Guerrero Jr.,vladimir guerrero,vladimir,guerrero,1,2019,2019,3B,Toronto Blue Jays,MLB,27,3,2017;2018;2019,guerre002vla,https://www.baseball-reference.com/register/player.fcgi?id=guerre002vla,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1999.0; approx_birth_year=1992; minor_id=guerre002vla; attempts=exact_full_name=2,1999.0,,,Vladimir Guerrero,a557a5ef
Wander Franco,wander franco,wander,franco,1,2021,2021,SS,Tampa Bay Rays,MLB,25,3,2019;2020;2021,franco001wan,https://www.baseball-reference.com/register/player.fcgi?id=franco001wan,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1996.0; approx_birth_year=1996; minor_id=franco001wan; attempts=exact_full_name=3,1996.0,,,Wander Franco,3c6f02ba
Adley Rutschman,adley rutschman,adley,rutschman,2,2022,2022,C,Baltimore Orioles,MLB,28,3,2020;2021;2022,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=rutsch000adl; attempts=exact_full_name=1,1998.0,,,Adley Rutschman,064c7618
Corbin Carroll,corbin carroll,corbin,carroll,2,2023,2023,OF,Arizona Diamondbacks,MLB,25,4,2020;2021;2022;2023,carrol000cor,https://www.baseball-reference.com/register/player.fcgi?id=carrol000cor,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1998; minor_id=carrol000cor; attempts=exact_full_name=1,2000.0,,,Corbin Carroll,fcad53a8
