Player,Resolve_Status,Resolve_Method,Resolve_Reason,BRef_Register_ID,BRef_Register_URL,Birth_Year,Birth_Country,Birth_State,Chadwick_Name
Andrew Benintendi,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=benint000and; attempts=exact_full_name=1,benint000and,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,1994.0,,,Andrew Benintendi
Bobby Witt Jr.,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=witt--005rob; attempts=exact_full_name=2,witt--005rob,https://www.baseball-reference.com/register/player.fcgi?id=witt--005rob,2000.0,,,Bobby Witt
Gunnar Henderson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=hender000gun; attempts=exact_full_name=1,hender000gun,https://www.baseball-reference.com/register/player.fcgi?id=hender000gun,2001.0,,,Gunnar Henderson
Jackson Holliday,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=hollid000jac; attempts=exact_full_name=1,hollid000jac,https://www.baseball-reference.com/register/player.fcgi?id=hollid000jac,2003.0,,,Jackson Holliday
Jesús Made,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2007; minor_id=made--000jes; attempts=exact_full_name=1,made--000jes,https://www.baseball-reference.com/register/player.fcgi?id=made--000jes,2007.0,,,Jesús Made
Shohei Ohtani,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=otani-000sho; attempts=exact_full_name=1,otani-000sho,https://www.baseball-reference.com/register/player.fcgi?id=otani-000sho,1994.0,,,Shohei Ohtani
Vladimir Guerrero Jr.,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1999.0; approx_birth_year=1992; minor_id=guerre002vla; attempts=exact_full_name=2,guerre002vla,https://www.baseball-reference.com/register/player.fcgi?id=guerre002vla,1999.0,,,Vladimir Guerrero
Wander Franco,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1996.0; approx_birth_year=1996; minor_id=franco001wan; attempts=exact_full_name=3,franco001wan,https://www.baseball-reference.com/register/player.fcgi?id=franco001wan,1996.0,,,Wander Franco
Adley Rutschman,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=rutsch000adl; attempts=exact_full_name=1,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,Adley Rutschman
Corbin Carroll,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1998; minor_id=carrol000cor; attempts=exact_full_name=1,carrol000cor,https://www.baseball-reference.com/register/player.fcgi?id=carrol000cor,2000.0,,,Corbin Carroll
Fernando Tatis Jr.,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1999.0; approx_birth_year=1992; minor_id=tatis-003fer; attempts=exact_full_name=3,tatis-003fer,https://www.baseball-reference.com/register/player.fcgi?id=tatis-003fer,1999.0,,,Fernando Tatís
Gavin Lux,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=lux---000gav; attempts=exact_full_name=1,lux---000gav,https://www.baseball-reference.com/register/player.fcgi?id=lux---000gav,1997.0,,,Gavin Lux
Jackson Chourio,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2002; minor_id=chouri000jac; attempts=exact_full_name=1,chouri000jac,https://www.baseball-reference.com/register/player.fcgi?id=chouri000jac,2004.0,,,Jackson Chourio
Leo De Vries,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=devrie000leo; attempts=exact_full_name=1,devrie000leo,https://www.baseball-reference.com/register/player.fcgi?id=devrie000leo,2006.0,,,Leo De Vries
Roman Anthony,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2003; minor_id=anthon000rom; attempts=exact_full_name=1,anthon000rom,https://www.baseball-reference.com/register/player.fcgi?id=anthon000rom,2004.0,,,Roman Anthony
Ronald Acuña Jr.,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1990; minor_id=acuna-002ron; attempts=exact_full_name=1,acuna-002ron,https://www.baseball-reference.com/register/player.fcgi?id=acuna-002ron,1997.0,,,Ronald Acuña
