Player,Year,Age,Source,rows,games_sum,games_max,teams,levels,leagues
Adael Amador,2024,21,Pro,2,110,100,COL | Hartford,AA | Maj,EL | NL
Albert Almora Jr.,2013,19,Pro,2,82,61,Kane County | Mesa,A | Fal,AZFL | MIDW
Alex Freeland,2022,20,Pro,2,34,26,Brewster | Rancho Cucamonga,A | Smr,CALL | CCBL
Alex Verdugo,2016,20,Pro,2,139,126,Glendale | Tulsa,AA | Fal,AZFL | TL
Alex Verdugo,2017,21,Pro,3,135,117,LAD | Mexico | Oklahoma City,AAA | Maj | WBC,NL | PCL | WBC
Alfredo Duno,2025,19,Pro,2,128,113,Daytona | Peoria,A | Fal,AZFL | FLOR
Amed Rosario,2017,21,Pro,2,140,94,Las Vegas | NYM,AAA | Maj,NL | PCL
Andrés Giménez,2019,20,Pro,2,135,117,Binghamton | Scottsdale,AA | Fal,AZFL | EL
Andy Pages,2022,21,Pro,2,154,132,Glendale | Tulsa,AA | Fal,AZFL | TL
Anthony Alford,2016,21,Pro,2,115,92,Dunedin | Mesa,A+ | Fal,AZFL | FLOR
Bo Bichette,2016,18,Pro,2,25,22,Blue Jays | Brazil,Rk | WBC,GULF | WBCQ
Bobby Bradley,2017,21,Pro,2,149,131,Akron | Glendale,AA | Fal,AZFL | EL
Bryce Eldridge,2026,21,Pro,2,38,30,SFG | Sacramento,AAA | Maj,NL | PCL
Carter Kieboom,2019,21,Pro,2,120,109,Fresno | WSN,AAA | Maj,NL | PCL
Christian Arroyo,2015,20,Pro,2,109,90,San Jose | Scottsdale,A+ | Fal,AZFL | CALL
Clint Frazier,2015,20,Pro,2,155,133,Lynchburg | Scottsdale,A+ | Fal,AZFL | CARL
Cole Young,2024,20,Pro,2,125,124,Arkansas | Peoria,AA | Fal,AZFL | TL
Cole Young,2025,21,Pro,2,131,77,SEA | Tacoma,AAA | Maj,AL | PCL
Colt Emerson,2026,20,Pro,2,39,38,SEA | Tacoma,AAA | Maj,AL | PCL
Colt Keith,2022,20,Pro,2,67,48,Salt River | West Michigan,A+ | Fal,AZFL | MIDW
Colton Welker,2019,21,Pro,2,120,98,Hartford | Salt River,AA | Fal,AZFL | EL
Cristian Hernández,2022,21,Pro,2,37,29,Jersey Shore | Surprise,A+ | Fal,AZFL | SALL
Cristian Pache,2020,21,Pro,2,11,9,ATL | Estrellas,FgW | Maj,DOWL | NL
Curtis Mead,2018,17,Pro,2,40,38,Adelaide | Phillies West,Fgn | Rk,AUBL | GULF
Curtis Mead,2019,18,Pro,2,79,44,Adelaide | Phillies East,Fgn | Rk,AUBL | GULF
Dominic Smith,2015,20,Pro,2,132,118,Salt River | St. Lucie,A+ | Fal,AZFL | FLOR
Edwin Arroyo,2021,17,Pro,2,43,22,Mariners | RA12,FgW | Rk,ACL | PRWL
Edwin Arroyo,2025,21,Pro,2,137,121,Chattanooga | Santurce,AA | FgW,PRWL | SOUL
Elly De La Cruz,2023,21,Pro,2,136,98,CIN | Louisville,AAA | Maj,IL | NL
Eloy Jiménez,2016,19,Pro,2,127,112,Mesa | South Bend,A | Fal,AZFL | MIDW
Ethan Salas,2024,18,Pro,2,136,113,Fort Wayne | Peoria,A+ | Fal,AZFL | MIDW
Fernando Tatis Jr.,2018,19,Pro,2,111,88,Estrellas | San Antonio,AA | FgW,DOWL | TL
Fernando Tatis Jr.,2019,20,Pro,2,86,84,Amarillo | SDP,AA | Maj,NL | TL
Francisco Alvarez,2023,21,Pro,2,127,123,NYM | Syracuse,AAA | Maj,IL | NL
Franklin Barreto,2015,19,Pro,2,125,90,Stockton | Zulia,A+ | FgW,CALL | VEWL
Franklin Barreto,2017,21,Pro,2,136,111,Nashville | OAK,AAA | Maj,AL | PCL
Gabriel Arias,2018,18,Pro,2,148,124,Fort Wayne | La Guaira,A | FgW,MIDW | VEWL
Harry Ford,2022,19,Pro,2,107,104,Great Britain | Modesto,A | WBC,CALL | WBCQ
Heliot Ramos,2018,18,Pro,2,143,124,Augusta | Santurce,A | FgW,PRWL | SALL
Isan Díaz,2014,18,Pro,2,57,49,Carolina | Diamondbacks,FgW | Rk,ARIZ | PRWL
Isan Díaz,2016,20,Pro,2,152,135,Salt River | Wisconsin,A | Fal,AZFL | MIDW
Jac Caglianone,2024,21,Pro,2,50,29,Quad Cities | Surprise,A+ | Fal,AZFL | MIDW
Jackson Chourio,2021,17,Pro,2,57,45,Brewers 2 | Zulia,FRk | FgW,DOSL | VEWL
Jackson Chourio,2024,20,Pro,2,155,148,MIL | Zulia,FgW | Maj,NL | VEWL
Jackson Chourio,2025,21,Pro,3,144,131,MIL | Nashville | Zulia,AAA | FgW | Maj,IL | NL | VEWL
Jackson Holliday,2024,20,Pro,2,133,73,BAL | Norfolk,AAA | Maj,AL | IL
Jahmai Jones,2019,21,Pro,2,146,130,Mesa | Mobile,AA | Fal,AZFL | SOUL
Jaison Chourio,2022,17,Pro,2,51,40,Guardians Red | Zulia,FRk | FgW,DOSL | VEWL
James Triantos,2021,18,Pro,2,26,25,Cubs | South County,Rk | Smr,ACL | CRCL
James Wood,2024,21,Pro,2,131,79,Rochester | WSN,AAA | Maj,IL | NL
Jarred Kelenic,2021,21,Pro,2,123,93,SEA | Tacoma,AAA | Maj,AAAW | AL
Jazz Chisholm Jr.,2016,18,Pro,2,66,62,Great Britain | Missoula,Rk | WBC,PION | WBCQ
Jeimer Candelario,2013,19,Pro,2,131,130,Aguilas | Kane County,A | FgW,DOWL | MIDW
Jonny Farmelo,2025,20,Pro,2,52,29,Everett | Peoria,A+ | Fal,AZFL | NORW
Jordan Walker,2022,20,Pro,2,140,119,Salt River | Springfield,AA | Fal,AZFL | TL
Jordan Walker,2023,21,Pro,2,146,117,Memphis | STL,AAA | Maj,IL | NL
Jorge Alfaro,2012,19,Pro,2,92,74,Hickory | Ponce,A | FgW,PRWL | SALL
Jorge Mateo,2016,21,Pro,2,133,113,Tampa | Toros,A+ | FgW,DOWL | FLOR
Josh Lowe,2019,21,Pro,2,136,121,Montgomery | Salt River,AA | Fal,AZFL | SOUL
Josue Briceño,2024,19,Pro,2,65,40,Lakeland | Scottsdale,A | Fal,AZFL | FLOR
Keibert Ruiz,2018,19,Pro,2,114,101,Glendale | Tulsa,AA | Fal,AZFL | TL
Keibert Ruiz,2020,21,Pro,2,12,10,Caracas | LAD,FgW | Maj,NL | VEWL
Konnor Griffin,2026,20,Pro,2,46,41,Indianapolis | PIT,AAA | Maj,IL | NL
Kyle Tucker,2018,21,Pro,2,128,100,Fresno | HOU,AAA | Maj,AL | PCL
Leo De Vries,2024,17,Pro,2,93,75,Lake Elsinore | Peoria,A | Fal,AZFL | CALL
Leody Taveras,2018,19,Pro,2,148,132,Aguilas | Down East,A+ | FgW,CARL | DOWL
Liover Peguero,2022,21,Pro,3,131,121,Altoona | Gigantes | PIT,AA | FgW | Maj,DOWL | EL | NL
Logan O'Hoppe,2019,19,Pro,2,73,45,Adelaide | Williamsport,A- | Fgn,AUBL | NYPL
Luis Campusano,2019,20,Pro,2,114,110,Lake Elsinore | Peoria,A+ | Fal,AZFL | CALL
Luis Lara,2024,19,Pro,2,135,110,Peoria | Wisconsin,A+ | Fal,AZFL | MIDW
Luis Robert Jr.,2016,18,Pro,2,69,53,Ciego de Avila | Cuba,Fgn | Ind,CAMA | CNS
Luis Urías,2018,21,Pro,2,132,120,El Paso | SDP,AAA | Maj,NL | PCL
Manuel Margot,2016,21,Pro,3,170,124,El Paso | SDP | Toros,AAA | FgW | Maj,DOWL | NL | PCL
Masyn Winn,2023,21,Pro,2,142,105,Memphis | STL,AAA | Maj,IL | NL
Matt Shaw,2021,19,Pro,2,38,35,Amsterdam | Worcester,Smr,FCBL | PGCL
Michael Arroyo,2026,21,Pro,2,40,36,Arkansas | Colombia,AA | WBC,TL | WBC
Michael Harris II,2022,21,Pro,2,157,114,ATL | Mississippi,AA | Maj,NL | SOUL
Mickey Moniak,2019,21,Pro,2,136,119,Reading | Scottsdale,AA | Fal,AZFL | EL
Miguel Amaya,2019,20,Pro,2,112,99,Mesa | Myrtle Beach,A+ | Fal,AZFL | CARL
Moisés Ballesteros,2025,21,Pro,2,134,114,CHC | Iowa,AAA | Maj,IL | NL
Nick Gordon,2016,20,Pro,2,137,116,Fort Myers | Surprise,A+ | Fal,AZFL | FLOR
Nick Yorke,2022,20,Pro,2,99,80,Greenville | Scottsdale,A+ | Fal,AZFL | SALL
Owen Caissie,2022,19,Pro,2,121,105,Mesa | South Bend,A+ | Fal,AZFL | MIDW
Owen Caissie,2023,20,Pro,2,123,120,Canada | Tennessee,AA | WBC,SOUL | WBC
Ozzie Albies,2017,20,Pro,2,154,97,ATL | Gwinnett,AAA | Maj,IL | NL
Rafael Devers,2015,18,Pro,2,128,115,Escogido | Greenville,A | FgW,DOWL | SALL
Rafael Devers,2016,19,Pro,2,153,128,Escogido | Salem,A+ | FgW,CARL | DOWL
Raimel Tapia,2015,21,Pro,2,154,131,Modesto | Salt River,A+ | Fal,AZFL | CALL
Richard Urena,2017,21,Pro,3,167,129,Gigantes | New Hampshire | TOR,AA | FgW | Maj,AL | DOWL | EL
Roderick Arias,2024,19,Pro,2,125,124,Estrellas | Tampa,A | FgW,DOWL | FLOR
Roman Anthony,2025,21,Pro,2,129,71,BOS | Worcester,AAA | Maj,AL | IL
Ronald Acuña Jr.,2018,20,Pro,2,134,111,ATL | Gwinnett,AAA | Maj,IL | NL
Ronaldo Hernández,2018,20,Pro,2,113,109,Bowling Green | Peoria,A | Fal,AZFL | MIDW
Ronaldo Hernández,2019,21,Pro,2,114,103,Charlotte | Salt River,A+ | Fal,AZFL | FLOR
Ronny Mauricio,2022,21,Pro,2,169,123,Binghamton | Licey,AA | FgW,DOWL | EL
Ryan McMahon,2016,21,Pro,2,154,133,Hartford | Salt River,AA | Fal,AZFL | EL
Samuel Basallo,2025,20,Pro,2,107,76,BAL | Norfolk,AAA | Maj,AL | IL
Sebastian Walcott,2025,19,Pro,2,125,124,Frisco | Surprise,AA | Fal,AZFL | TL
Starlyn Caba,2025,19,Pro,2,69,51,Jupiter | Mesa,A | Fal,AZFL | FLOR
Taylor Trammell,2018,20,Pro,2,132,110,Daytona | Scottsdale,A+ | Fal,AZFL | FLOR
Thayron Liranzo,2023,19,Pro,2,96,94,Rancho Cucamonga | Toros,A | FgW,CALL | DOWL
Tyler Black,2022,21,Pro,2,81,64,Glendale | Wisconsin,A+ | Fal,AZFL | MIDW
Tyler O'Neill,2015,20,Pro,2,114,106,Bakersfield | Peoria,A+ | Fal,AZFL | CALL
Tyler O'Neill,2016,21,Pro,2,149,130,Jackson | Peoria,AA | Fal,AZFL | SOUL
Tyler Soderstrom,2023,21,Pro,2,122,77,Las Vegas | OAK,AAA | Maj,AL | PCL
Vladimir Guerrero Jr.,2020,21,Pro,2,70,60,Escogido | TOR,FgW | Maj,AL | DOWL
Willie Calhoun,2016,21,Pro,2,146,132,Glendale | Tulsa,AA | Fal,AZFL | TL
Willy Adames,2016,20,Pro,2,142,132,Licey | Montgomery,AA | FgW,DOWL | SOUL
Zac Veen,2023,21,Pro,2,55,46,Hartford | Ponce,AA | FgW,EL | PRWL
Zach Neto,2021,20,Pro,2,17,16,Brewster | North Adams,Smr,CCBL | NECL
