Player,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Acquisition_Type,Acquisition_Confidence,Acquisition_Reason,BRef_Register_ID,BRef_Register_URL,Birth_Year,Birth_Country,Birth_State,Year,Age,Source,Games,Teams,Leagues,Levels,Table_Index
Aaron Judge,46,2017,2017,OF,New York Yankees,College,high,College/NCAA batting rows found through age 21,judge-001aar,https://www.baseball-reference.com/register/player.fcgi?id=judge-001aar,1992.0,,,2011,19,College,55,Fresno State,WAC,NCAA,0
Aaron Judge,46,2017,2017,OF,New York Yankees,College,high,College/NCAA batting rows found through age 21,judge-001aar,https://www.baseball-reference.com/register/player.fcgi?id=judge-001aar,1992.0,,,2012,20,College,58,Fresno State,WAC,NCAA,0
Aaron Judge,46,2017,2017,OF,New York Yankees,College,high,College/NCAA batting rows found through age 21,judge-001aar,https://www.baseball-reference.com/register/player.fcgi?id=judge-001aar,1992.0,,,2012,20,Pro,32,Brewster,CCBL,Summe,0
Aaron Judge,46,2017,2017,OF,New York Yankees,College,high,College/NCAA batting rows found through age 21,judge-001aar,https://www.baseball-reference.com/register/player.fcgi?id=judge-001aar,1992.0,,,2013,21,College,56,Fresno State,MWC,NCAA,0
Adam Haseley,95,2018,2018,CF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hasele000ada,https://www.baseball-reference.com/register/player.fcgi?id=hasele000ada,1996.0,,,2015,19,College,68,Virginia,ACC,NCAA,0
Adam Haseley,95,2018,2018,CF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hasele000ada,https://www.baseball-reference.com/register/player.fcgi?id=hasele000ada,1996.0,,,2016,20,College,59,Virginia,ACC,NCAA,0
Adam Haseley,95,2018,2018,CF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hasele000ada,https://www.baseball-reference.com/register/player.fcgi?id=hasele000ada,1996.0,,,2016,20,Summer,41,Orleans,CCBL,Smr,0
Adam Haseley,95,2018,2018,CF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hasele000ada,https://www.baseball-reference.com/register/player.fcgi?id=hasele000ada,1996.0,,,2017,21,College,58,Virginia,ACC,NCAA,0
Adam Haseley,95,2018,2018,CF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hasele000ada,https://www.baseball-reference.com/register/player.fcgi?id=hasele000ada,1996.0,,,2017,21,Pro,58,3 Teams,3 Lgs,A--A-Rk,0
Adley Rutschman,2,2022,2022,C,Baltimore Orioles,College,high,College/NCAA batting rows found through age 21,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,2016,18,Summer,10,Corvallis,WCL,Smr,0
Adley Rutschman,2,2022,2022,C,Baltimore Orioles,College,high,College/NCAA batting rows found through age 21,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,2017,19,College,61,Oregon State,P12,NCAA,0
Adley Rutschman,2,2022,2022,C,Baltimore Orioles,College,high,College/NCAA batting rows found through age 21,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,2017,19,Summer,20,Falmouth,CCBL,Smr,0
Adley Rutschman,2,2022,2022,C,Baltimore Orioles,College,high,College/NCAA batting rows found through age 21,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,2018,20,College,67,Oregon State,P12,NCAA,0
Adley Rutschman,2,2022,2022,C,Baltimore Orioles,College,high,College/NCAA batting rows found through age 21,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,2019,21,College,57,Oregon State,P12,NCAA,0
Adley Rutschman,2,2022,2022,C,Baltimore Orioles,College,high,College/NCAA batting rows found through age 21,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,2019,21,Pro,37,3 Teams,3 Lgs,A--A-Rk,0
Aiva Arquette,35,2026,2026,SS,Miami Marlins,College,high,College/NCAA batting rows found through age 21,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,2003.0,,,2022,18,Summer,39,Wenatchee,WCL,Smr,0
Aiva Arquette,35,2026,2026,SS,Miami Marlins,College,high,College/NCAA batting rows found through age 21,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,2003.0,,,2023,19,College,15,Washington,P12,NCAA,0
