Player,URL,Status,Rows,Tables_Found,Tables_Accepted,Acquisition_Type,Confidence,Reason,Draft_Text,Signing_Text,High_School_Text,School_Text,Cached,Final_URL
Andrew Benintendi,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,200,4,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Cincinnati Reds in the 31st round of the 2013 MLB June Amateur Draft from Madeira HS (Cincinnati, OH) and the Boston Red Sox in the 1st round (7th) of the 2015 MLB June Amateur Draft from University of Arkansas (Fayetteville, AR) .","2026 Contract Status : Signed thru 2027, 5 yrs/$75M (23-27)","Draft : Drafted by the Cincinnati Reds in the 31st round of the 2013 MLB June Amateur Draft from Madeira HS (Cincinnati, OH) and the Boston Red Sox in the 1st round (7th) of the 2015 MLB June Amateur Draft from University of Arkansas (Fayetteville, AR) . | High School: Madeira HS (Cincinnati, OH)","High School: Madeira HS (Cincinnati, OH) | School: University of Arkansas (Fayetteville, AR)",True,https://www.baseball-reference.com/register/player.fcgi?id=benint000and
Bobby Witt Jr.,https://www.baseball-reference.com/register/player.fcgi?id=witt--005rob,200,2,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Kansas City Royals in the 1st round (2nd) of the 2019 MLB June Amateur Draft from Colleyville Heritage HS (Colleyville, TX) . | High School: Colleyville Heritage HS (Colleyville, TX)","Draft : Drafted by the Kansas City Royals in the 1st round (2nd) of the 2019 MLB June Amateur Draft from Colleyville Heritage HS (Colleyville, TX) .","2026 Contract Status : Signed thru 2030, 7 yrs/$148.78M (24-30) & 31-37 player/team option","Draft : Drafted by the Kansas City Royals in the 1st round (2nd) of the 2019 MLB June Amateur Draft from Colleyville Heritage HS (Colleyville, TX) . | High School: Colleyville Heritage HS (Colleyville, TX)","High School: Colleyville Heritage HS (Colleyville, TX)",True,https://www.baseball-reference.com/register/player.fcgi?id=witt--005rob
Gunnar Henderson,https://www.baseball-reference.com/register/player.fcgi?id=hender000gun,200,3,1,1,High School,high,"BRef draft/bio text indicates high school path: High School: John T. Morgan Academy (Selma, AL)","Draft : Drafted by the Baltimore Orioles in the 2nd round of the 2019 MLB June Amateur Draft from John T. Morgan Academy (Selma, AL) .","2026 Contract Status : Signed thru 2026, 1 yr/$8.5M (26)","High School: John T. Morgan Academy (Selma, AL)","High School: John T. Morgan Academy (Selma, AL)",True,https://www.baseball-reference.com/register/player.fcgi?id=hender000gun
Jackson Holliday,https://www.baseball-reference.com/register/player.fcgi?id=hollid000jac,200,5,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Baltimore Orioles in the 1st round (1st) of the 2022 MLB June Amateur Draft from Stillwater HS (Stillwater, OK) . | High School: Stillwater HS (Stillwater, OK)","Draft : Drafted by the Baltimore Orioles in the 1st round (1st) of the 2022 MLB June Amateur Draft from Stillwater HS (Stillwater, OK) .",,"Draft : Drafted by the Baltimore Orioles in the 1st round (1st) of the 2022 MLB June Amateur Draft from Stillwater HS (Stillwater, OK) . | High School: Stillwater HS (Stillwater, OK)","High School: Stillwater HS (Stillwater, OK)",True,https://www.baseball-reference.com/register/player.fcgi?id=hollid000jac
Jesús Made,https://www.baseball-reference.com/register/player.fcgi?id=made--000jes,200,3,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,True,https://www.baseball-reference.com/register/player.fcgi?id=made--000jes
Shohei Ohtani,https://www.baseball-reference.com/register/player.fcgi?id=otani-000sho,200,5,1,1,High School,high,"BRef draft/bio text indicates high school path: High School: Hanamaki Higashi (Iwate, Japan)",,"2026 Contract Status : Signed thru 2033, 10 yrs/$282.17M (24-33)","High School: Hanamaki Higashi (Iwate, Japan)","High School: Hanamaki Higashi (Iwate, Japan)",False,https://www.baseball-reference.com/register/player.fcgi?id=otani-000sho
Vladimir Guerrero Jr.,https://www.baseball-reference.com/register/player.fcgi?id=guerre002vla,200,6,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"2026 Contract Status : Signed thru 2039, 14 yrs/$500M (26-39)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=guerre002vla
Wander Franco,https://www.baseball-reference.com/register/player.fcgi?id=franco001wan,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=franco001wan
Adley Rutschman,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,200,6,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Seattle Mariners in the 40th round of the 2016 MLB June Amateur Draft from Sherwood HS (Sherwood, OR) and the Baltimore Orioles in the 1st round (1st) of the 2019 MLB June Amateur Draft from Oregon State University (Corvallis, OR) .","2026 Contract Status : Signed thru 2026, 1 yr/$7.25M (26)","Draft : Drafted by the Seattle Mariners in the 40th round of the 2016 MLB June Amateur Draft from Sherwood HS (Sherwood, OR) and the Baltimore Orioles in the 1st round (1st) of the 2019 MLB June Amateur Draft from Oregon State University (Corvallis, OR) . | High School: Sherwood HS (Sherwood, OR)","High School: Sherwood HS (Sherwood, OR) | School: Oregon State University (Corvallis, OR)",False,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl
Corbin Carroll,https://www.baseball-reference.com/register/player.fcgi?id=carrol000cor,200,3,1,1,High School,high,"BRef draft/bio text indicates high school path: High School: Lakeside School (Seattle, WA)","Draft : Drafted by the Arizona Diamondbacks in the 1st round (16th) of the 2019 MLB June Amateur Draft from Lakeside School (Seattle, WA) .","2026 Contract Status : Signed thru 2030, 8 yrs/$111M (23-30) & 31 team option","High School: Lakeside School (Seattle, WA)","High School: Lakeside School (Seattle, WA) | School: Arizona State University (Tempe, AZ)",False,https://www.baseball-reference.com/register/player.fcgi?id=carrol000cor
Fernando Tatis Jr.,https://www.baseball-reference.com/register/player.fcgi?id=tatis-003fer,200,7,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"2026 Contract Status : Signed thru 2034, 14 yrs/$340M (21-34)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=tatis-003fer
Gavin Lux,https://www.baseball-reference.com/register/player.fcgi?id=lux---000gav,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Los Angeles Dodgers in the 1st round (20th) of the 2016 MLB June Amateur Draft from Indian Trail HS (Kenosha, WI) . | High School: Indian Trail HS (Kenosha, WI)","Draft : Drafted by the Los Angeles Dodgers in the 1st round (20th) of the 2016 MLB June Amateur Draft from Indian Trail HS (Kenosha, WI) .","2026 Contract Status : Signed thru 2026, 1 yr/$5.53M (26)","Draft : Drafted by the Los Angeles Dodgers in the 1st round (20th) of the 2016 MLB June Amateur Draft from Indian Trail HS (Kenosha, WI) . | High School: Indian Trail HS (Kenosha, WI)","High School: Indian Trail HS (Kenosha, WI)",False,https://www.baseball-reference.com/register/player.fcgi?id=lux---000gav
Jackson Chourio,https://www.baseball-reference.com/register/player.fcgi?id=chouri000jac,200,9,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"Jackson Chourio Positions: Centerfielder, Leftfielder and Rightfielder Bats: Right • Throws: Right 6-1 , 199lb (185cm, 90kg) Team: Milwaukee Brewers (majors) Born: March 11 , 2004 in Maracaibo, Venezuela ve Rookie Status: Exceeded rookie limits during 2024 season 2026 Contract Status : Signed thru 2031, 8 yrs/$84M (24-31) & 32-33 team option Service Time (01/2026) : 2.000 • Free Agent : 2032 Full Name: Jackson Bryan Chourio Pronunciation : \ CHOO-ree-oh \ Instagram: @jacksonbryaan View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2031, 8 yrs/$84M (24-31) & 32-33 team option",,,False,https://www.baseball-reference.com/register/player.fcgi?id=chouri000jac
Leo De Vries,https://www.baseball-reference.com/register/player.fcgi?id=devrie000leo,200,4,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=devrie000leo
