Age,Acquisition_Type,Source,Games
16,College,Pro,7
16,High School,Summer,2
16,International,Pro,353
17,College,Pro,9
17,High School,Pro,377
17,High School,Summer,29
17,International,Pro,4751
18,College,College,624
18,College,Summer,809
18,High School,Pro,4651
18,High School,Summer,1
18,International,Pro,6492
19,College,College,4017
19,College,Summer,1700
19,High School,Pro,11172
19,International,Pro,8194
20,College,College,4840
20,College,Pro,611
20,College,Summer,1379
20,High School,Pro,11472
20,International,Pro,7991
21,College,College,4171
21,College,Pro,3953
21,College,Summer,63
21,High School,Pro,11367
21,International,Pro,7240
